openalex_snapshot_date,peeringdb_rec_snapshot_date,period,iso_i,iso_j,association_strength,log1p_association_strength,knowledge_edge_present,inverse_ubiquity_weighted_shared_asns,shared_asn_count,shared_rec_any,shared_rec_count,shared_recs,shared_rec_any_2021,shared_rec_count_2021,shared_recs_2021,rec_tie_changed_2021_to_2025,distance_capital_km,contiguous_border,common_official_language,member_asn_geometric_mean,gdp_geometric_mean,log_member_asn_geometric_mean
2026-07-14,2026-07-15,current_2021_2025,AO,NA,0.0,0.0,0,0.23118279569892472,3,1,1,SADC,1,1,SADC,0,1582.8753662109375,1,0,13.19090595827292,42923640943.13857,2.5795276496072646
2026-07-14,2026-07-15,current_2021_2025,AO,NG,0.0,0.0,0,1.518484383000512,9,0,0,,0,0,,0,2115.09814453125,0,0,66.61080993352356,188488113594.52902,4.198866875689455
2026-07-14,2026-07-15,current_2021_2025,AO,RW,0.0,0.0,0,0.23118279569892472,3,1,1,ECCAS,1,1,ECCAS,0,2014.3455810546875,0,0,20.85665361461421,44724305894.11134,3.037673015544342
2026-07-14,2026-07-15,current_2021_2025,AO,SN,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,4277.94140625,0,0,12.041594578792296,67240385728.18404,2.488366871210287
2026-07-14,2026-07-15,current_2021_2025,AO,SL,0.0,0.0,0,0,0,0,0,,0,0,,0,3517.933837890625,0,0,12.041594578792296,30198222904.91459,2.488366871210287
2026-07-14,2026-07-15,current_2021_2025,AO,ZA,0.0,0.0,0,5.685151049667178,14,1,1,SADC,1,1,SADC,0,2458.173583984375,0,0,135.70187913216236,228453929255.39938,4.910460414439583
2026-07-14,2026-07-15,current_2021_2025,AO,SD,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3447.44873046875,0,0,10.770329614269007,85734259351.61684,2.3767950955531822
2026-07-14,2026-07-15,current_2021_2025,AO,TZ,0.0,0.0,0,0.3422939068100358,4,1,1,SADC,1,1,SADC,0,2498.827880859375,0,0,35.31288716601915,104944135934.83685,3.5642479728400183
2026-07-14,2026-07-15,current_2021_2025,AO,TG,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,2128.469482421875,0,0,16.15549442140351,38113687994.8761,2.7822602036613464
2026-07-14,2026-07-15,current_2021_2025,AO,TN,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,5092.5341796875,0,0,10.770329614269007,83817675324.52797,2.3767950955531822
2026-07-14,2026-07-15,current_2021_2025,AO,UG,0.0,0.0,0,0.17562724014336917,3,0,0,,0,0,,0,2373.8974609375,0,0,26.92582403567252,87023628050.7311,3.2930858274273374
2026-07-14,2026-07-15,current_2021_2025,AO,ZM,0.0,0.0,0,0.23118279569892472,3,1,1,SADC,1,1,SADC,0,1791.821533203125,1,0,18.65475810617763,59400228379.35851,2.9261012398872372
2026-07-14,2026-07-15,current_2021_2025,AO,ZW,0.0,0.0,0,0,0,1,1,SADC,1,1,SADC,0,2170.011962890625,0,0,7.615773105863909,79102880041.91473,2.0302215052732095
