openalex_snapshot_date,peeringdb_rec_snapshot_date,macro_reference_year,period,iso_i,iso_j,coauth_full,coauth_fractional,association_strength,log1p_association_strength,knowledge_edge_present,network_primary_defined,network_defined_excluding_ambiguous_ixps,shared_asn_count,inverse_ubiquity_weighted_shared_asns,asn_jaccard_similarity,asn_cosine_similarity,inverse_ubiquity_excluding_asns_ge_25pct,inverse_ubiquity_excluding_asns_ge_50pct,inverse_ubiquity_excluding_ambiguous_ixps,shared_asn_count_operational_only,shared_asn_count_zero_coded_55,inverse_ubiquity_zero_coded_55,member_asns_i,member_asns_j,member_asn_geometric_mean,log_member_asn_geometric_mean,log1p_member_asn_geometric_mean,shared_rec_any,shared_rec_count,shared_recs,shared_rec_any_2021,shared_rec_count_2021,shared_recs_2021,rec_tie_changed_2021_to_2025,distance_capital_km,log_distance_capital_km,distance_population_weighted_km,contiguous_border,common_official_language,gdp_current_usd_i,gdp_current_usd_j,gdp_geometric_mean,log_gdp_geometric_mean,population_i,population_j,population_geometric_mean,log_population_geometric_mean,h2_control_complete,h2_outcome_defined,h2_model_complete
2026-07-14,2026-07-15,2025,current_2021_2025,AO,BJ,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.0625,0.16609095970747995,0,0,0.06451612903225806,2,2,0.06451612903225806,29,5,12.041594578792296,2.488366871210287,2.568143832672187,0,0,,0,0,,0,2064.176025390625,7.632486406584501,2340.250543236303,0,0,122174889423.635,24566420903.5337,54785032238.95834,24.72668285926683,39040039.0,14814460.0,24049056.034778994,16.9956063036326,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,BW,0,0.0,0.0,0.0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,29,1,5.385164807134504,1.6836479149932368,1.8539773007621176,1,1,SADC,1,1,SADC,0,2223.577880859375,7.706872835583973,2013.8469860126017,0,0,122174889423.635,19928479839.4476,49343285467.88965,24.622067534154382,39040039.0,2562122.0,10001267.059865864,16.11822234891838,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,BF,0,0.0,0.0,0.0,0,1,1,3,0.17562724014336917,0.07142857142857142,0.1392715036327889,0,0.1111111111111111,0.17562724014336917,3,3,0.17562724014336917,29,16,21.540659228538015,3.0699422761131276,3.1153207552353197,0,0,,0,0,,0,2876.135498046875,7.964202831099314,3026.3981450668334,0,0,122174889423.635,27627297461.3181,58097865816.31386,24.785394767191807,39040039.0,24074580.0,30657340.75402855,17.23838269424875,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,BI,0,0.0,0.0,0.0,0,1,1,3,0.17562724014336917,0.08571428571428572,0.1856953381770519,0,0.1111111111111111,0.17562724014336917,3,3,0.17562724014336917,29,9,16.15549442140351,2.7822602036613464,2.8423184967288817,1,1,ECCAS,1,1,ECCAS,0,1878.576416015625,7.538269543460333,1905.4197370361805,0,0,122174889423.635,3364713864.08488,20275195295.896458,23.732664069251506,39040039.0,14390003.0,23702031.101365913,16.98107130291286,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,CM,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.045454545454545456,0.09007546982220899,0,0,0.06451612903225806,2,2,0.06451612903225806,29,17,22.20360331117452,3.100254587021345,3.14430758174895,1,1,ECCAS,1,1,ECCAS,0,1424.687744140625,7.26170794177208,1787.590855386734,0,0,122174889423.635,58933453923.761,84853922811.43158,25.164197059867117,39040039.0,29879337.0,34153923.37307887,17.346388023855887,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,TD,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.05555555555555555,0.12379689211803459,0,0,0.06451612903225806,2,2,0.06451612903225806,29,9,16.15549442140351,2.7822602036613464,2.8423184967288817,1,1,ECCAS,1,1,ECCAS,0,2345.13525390625,7.7600983567890545,2372.1598695961475,0,0,122174889423.635,21472835225.4338,51219539916.708626,24.65938693518445,39040039.0,21003705.0,28635388.286951777,17.170153863590755,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,CG,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.05555555555555555,0.12379689211803459,0,0,0.06451612903225806,2,2,0.06451612903225806,29,9,16.15549442140351,2.7822602036613464,2.8423184967288817,1,1,ECCAS,1,1,ECCAS,0,556.9466552734375,6.322469463838994,681.5906393497467,0,0,122174889423.635,16306633778.765,44634753038.3257,24.521778608647132,39040039.0,6484437.0,15910772.243139017,16.582506937359724,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,CD,0,0.0,0.0,0.0,0,1,1,5,0.4851510496671787,0.09259259259259259,0.16951587590520262,0.30952380952380953,0.4206349206349206,0.4851510496671787,5,5,0.4851510496671787,29,30,29.49576240750525,3.384246605824315,3.417587736501819,1,2,ECCAS|SADC,1,2,ECCAS|SADC,0,553.1064453125,6.315550470001801,1026.16971197083,1,0,122174889423.635,91030531316.9936,105459210587.92558,25.38159008560374,39040039.0,112832473.0,66370054.59080508,18.01075652764407,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,CI,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.04878048780487805,0.09925833339709302,0,0,0.06451612903225806,2,2,0.06451612903225806,29,14,20.149441679609886,3.0031765798008663,3.051613507016658,0,0,,0,0,,0,2694.583984375,7.898999105703921,2712.489591979408,0,0,122174889423.635,99773555666.1988,110407532038.90001,25.427444193452224,39040039.0,32711547.0,35735977.25864416,17.39166850564284,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,DJ,0,0.0,0.0,0.0,0,1,1,6,0.8240399385560676,0.13953488372093023,0.2491364395612199,0.7595238095238095,0.7595238095238095,0.8240399385560676,6,6,0.8240399385560676,29,20,24.08318915758459,3.1815140517702325,3.222197867073975,0,0,,0,0,,0,4015.183837890625,8.297838413101159,4027.6814423418996,0,0,122174889423.635,4624533092.31886,23769766914.927826,23.89168031241969,39040039.0,1184076.0,6798997.956976013,15.732285800019659,1,1,1
