protocol_version,country_code,iso3,country,mother_sample_55,network_primary_covered,time_core31_flag,resource_period,research_activity_fractional,research_activity_state,research_activity_pct_layer55,research_activity_pct_common39,research_activity_ai_works_sens,research_activity_ai_works_pct_layer55_sens,research_activity_ai_works_pct_common39_sens,technical_snapshot_date,technical_inverse_ubiquity_weighted_degree,technical_state,technical_pct_common39,technical_raw_shared_asn_degree_sens,ixp_count_aux,unique_member_asns_aux,technical_missing_reason,knowledge_period,knowledge_fractional_weighted_degree,knowledge_state,knowledge_pct_layer55,knowledge_pct_common39,knowledge_partner_count_aux,tech_knowledge_signed_gap_common39,tech_knowledge_abs_gap_common39,main_figure_sort_order
v1.0,SN,SEN,Senegal,1,1,0,current_2021_2025,103.99444444444444,Observed positive,68.51851851851852,63.1578947368421,159,66.66666666666667,60.526315789473685,2026-07-15,1.9999999999999987,Observed positive,17.105263157894736,62,1,5,,current_2021_2025,18.52777777777778,Observed positive,64.81481481481481,55.26315789473684,15,-38.15789473684211,38.15789473684211,18
v1.0,ZW,ZWE,Zimbabwe,1,1,0,current_2021_2025,102.97619047619045,Observed positive,66.66666666666667,60.526315789473685,172,68.51851851851852,63.1578947368421,2026-07-15,1.9999999999999996,Observed positive,23.68421052631579,26,1,2,,current_2021_2025,19.96666666666666,Observed positive,68.51851851851852,60.526315789473685,12,-36.84210526315789,36.84210526315789,19
v1.0,ZM,ZMB,Zambia,1,1,1,current_2021_2025,89.39253663003663,Observed positive,64.81481481481481,57.89473684210526,145,62.96296296296296,55.26315789473684,2026-07-15,6.999999999999999,Observed positive,57.89473684210526,102,1,12,,current_2021_2025,39.02545787545788,Observed positive,83.33333333333333,78.94736842105263,11,-21.05263157894737,21.05263157894737,20
v1.0,BW,BWA,Botswana,1,1,0,current_2021_2025,88.80657993966818,Observed positive,62.96296296296296,55.26315789473684,146,64.81481481481481,57.89473684210526,2026-07-15,1,Observed positive,9.210526315789474,1,2,1,,current_2021_2025,23.39707498383969,Observed positive,75.92592592592592,68.42105263157895,18,-59.21052631578947,59.21052631578947,21
v1.0,MU,MUS,Mauritius,1,1,1,current_2021_2025,88.13571428571426,Observed positive,61.111111111111114,52.63157894736842,120,61.111111111111114,52.63157894736842,2026-07-15,15.999999999999996,Observed positive,89.47368421052632,107,1,21,,current_2021_2025,8.861904761904762,Observed positive,51.851851851851855,39.473684210526315,4,50,50,22
v1.0,CD,COD,Democratic Republic of the Congo,1,1,1,current_2021_2025,59.775,Observed positive,59.25925925925926,50,89,53.7037037037037,42.10526315789474,2026-07-15,11,Observed positive,73.6842105263158,129,4,30,,current_2021_2025,12.433333333333334,Observed positive,55.55555555555556,44.73684210526316,11,28.947368421052637,28.947368421052637,23
v1.0,BF,BFA,Burkina Faso,1,1,1,current_2021_2025,59.53333333333333,Observed positive,57.407407407407405,47.36842105263158,90,55.55555555555556,44.73684210526316,2026-07-15,9.999999999999998,Observed positive,65.78947368421052,119,2,16,,current_2021_2025,19.63333333333333,Observed positive,66.66666666666667,57.89473684210526,13,7.89473684210526,7.89473684210526,24
v1.0,MW,MWI,Malawi,1,1,1,current_2021_2025,55.70000000000001,Observed positive,55.55555555555556,44.73684210526316,97,57.407407407407405,47.36842105263158,2026-07-15,3.9999999999999987,Observed positive,40.78947368421053,69,2,12,,current_2021_2025,8.287878787878789,Observed positive,50,36.8421052631579,12,3.94736842105263,3.94736842105263,25
v1.0,NA,NAM,Namibia,1,1,1,current_2021_2025,54.555952380952384,Observed positive,53.7037037037037,42.10526315789474,98,59.25925925925926,50,2026-07-15,4.999999999999999,Observed positive,52.63157894736842,70,1,6,,current_2021_2025,15.941142191142195,Observed positive,59.25925925925926,50,17,2.6315789473684177,2.6315789473684177,26
v1.0,BJ,BEN,Benin,1,1,1,current_2021_2025,52.65238095238095,Observed positive,51.851851851851855,39.473684210526315,82,51.851851851851855,39.473684210526315,2026-07-15,1.9999999999999987,Observed positive,17.105263157894736,62,1,5,,current_2021_2025,16.914285714285715,Observed positive,62.96296296296296,52.63157894736842,14,-35.526315789473685,35.526315789473685,27
