candidate_id,event_year,iso_i,iso_j,core31_pair,event_type,shared_asn_entry,shared_asn_2023,shared_asn_2024,ai_edge_2022,ai_edge_2023,risk_clean_two_year,risk_relaxed_one_year,ai_edge_2025,pre_ai_mean_log1p_fractional_output,pre_ai_abs_log1p_fractional_output_gap,pre_asn_mean_log1p_count,pre_asn_abs_log1p_count_gap,log_distance,contiguous_border,common_official_language
2024_AO_ZM,2024,AO,ZM,1,entry,1,0,3,0,0,1,1,0,2.4309155848147723,1.710758448112707,2.34106561356211,1.9095425048844386,7.490987997728908,1.0,0.0
2024_BF_ZM,2024,BF,ZM,1,entry,1,0,2,0,0,1,1,0,2.919170380748377,0.7342488562454972,2.04717228111105,1.3217558399823195,8.416609767231149,0.0,0.0
2024_BI_DJ,2024,BI,DJ,1,entry,1,0,2,0,0,1,1,0,1.8730205874133619,2.533769567686093,2.5184763012068148,0.24116205681688774,7.724271966802349,0.0,1.0
2024_BI_ZM,2024,BI,ZM,1,entry,1,0,2,0,0,1,1,0,3.213100090063767,0.14638943761471745,1.8920948169591307,1.01160091167848,7.20906375440272,0.0,0.0
2024_BJ_DJ,2024,BJ,DJ,1,entry,1,0,2,0,0,1,1,0,1.2516278942280983,1.2909841813155658,2.2154083994216567,0.8472978603872034,8.404934480357575,0.0,1.0
2024_BJ_GM,2024,BJ,GM,1,stable_zero,0,0,0,0,0,1,1,0,1.753278948659991,0.287682072451781,1.5890269151739727,0.4054651081081644,7.725441700418848,0.0,0.0
2024_BJ_ZM,2024,BJ,ZM,1,entry,1,0,2,0,0,1,1,0,2.591707396878504,1.3891748239852446,1.5890269151739727,0.4054651081081644,8.222674521346093,0.0,0.0
2024_CD_ZM,2024,CD,ZM,1,entry,1,0,3,0,0,1,1,0,2.7417596931036727,1.0890702315349063,2.34106561356211,1.9095425048844386,7.542468445015357,1.0,0.0
2024_CG_DJ,2024,CG,DJ,1,entry,1,0,2,0,0,1,1,0,0.996215082345103,0.7801585575495751,2.470821211304652,0.3364722366212125,8.176846339016006,0.0,1.0
2024_CG_GM,2024,CG,GM,1,stable_zero,0,0,0,0,0,1,1,0,1.4978661367769954,0.2231435513142097,1.8444397270569683,0.9162907318741553,8.302953183997369,0.0,0.0
2024_CG_ZM,2024,CG,ZM,1,entry,1,0,2,0,0,1,1,0,2.336294584995508,1.9000004477512353,1.8444397270569683,0.9162907318741553,7.548000462861092,0.0,0.0
2024_CI_DJ,2024,CI,DJ,1,entry,1,0,2,0,0,1,1,0,1.4252557552392187,1.6382399033378066,2.5619819897016294,0.15415067982725805,8.58321352428457,0.0,1.0
2024_CI_GM,2024,CI,GM,1,stable_zero,0,0,0,0,0,1,1,0,1.9269068096711113,0.6349377944740218,1.9356005054539454,1.0986122886681098,7.277994885565014,0.0,0.0
2024_CI_ZM,2024,CI,ZM,1,entry,1,0,2,0,0,1,1,0,2.7653352578896238,1.0419191019630039,1.9356005054539454,1.0986122886681098,8.401418940023744,0.0,0.0
2024_CM_DJ,2024,CM,DJ,1,entry,1,0,2,0,0,1,1,0,2.361854359989362,3.5114371128380935,2.736135336835737,0.19415601444095776,8.185995885043278,0.0,1.0
2024_CM_GM,2024,CM,GM,1,stable_zero,0,0,0,0,0,1,1,0,2.8635054144212546,2.508135003974308,2.1097538525880535,1.4469189829363256,8.093900035519445,0.0,1.0
2024_CM_ZM,2024,CM,ZM,1,entry,1,0,2,0,0,1,1,0,3.701933862639767,0.8312781075372828,2.1097538525880535,1.4469189829363256,7.9492293741941005,0.0,1.0
2024_DJ_GA,2024,DJ,GA,1,entry,1,0,2,0,0,1,1,0,0.7889981932996406,0.36572477945865034,2.418140953475739,0.44183275227903884,8.276568818501563,0.0,1.0
2024_DJ_GM,2024,DJ,GM,1,stable_zero,0,0,0,0,0,1,1,0,1.1077868580022079,1.0033021088637848,2.0126758453675744,1.2527629684953678,8.777184450223912,0.0,0.0
