graph,metric,n_countries,n_dyads,edges,observed_correlation,permutations,seed,permutation_p_two_sided,permutation_p_two_sided_plus1,null_mean,null_sd
knowledge,Pearson,39,741,222,0.11622977761661873,10000,2337748879,0.0176,0.017698230176982303,-5.074328476809287e-05,0.04874071648977814
knowledge,Spearman,39,741,222,0.11622977761661873,10000,2337748879,0.0176,0.017698230176982303,-5.074328476809287e-05,0.04874071648977814
infrastructure,Pearson,39,741,513,0.12970156788506096,10000,2337748879,0.0351,0.03519648035196481,-0.0007618498367269868,0.0618334154591535
infrastructure,Spearman,39,741,513,0.12970156788506096,10000,2337748879,0.0351,0.03519648035196481,-0.0007618498367269868,0.0618334154591535
