specification,outcome,adjusted,n,parameters,rank,countries,dyads,treated_n,control_n,treated_positive,control_positive,treated_rate,control_rate,unadjusted_rate_difference,entry_coefficient,hc3_se,hc3_ci_low,hc3_ci_high,hc3_normal_p,dyadic_cluster_se,dyadic_ci_low,dyadic_ci_high,dyadic_normal_p
primary_core31_clean_tplus1_adjusted,ai_edge_tplus1,1,740,13,13,31,226,132,608,13,16,0.09848484848484848,0.02631578947368421,0.07216905901116427,0.025720874299782544,0.026476106885504433,-0.026172295195806147,0.07761404379537123,0.3313118272984728,0.028475675172402702,-0.03009144903812675,0.08153319763769185,0.3663891141188082
primary_core31_clean_tplus1_year_fe_only,ai_edge_tplus1,0,740,6,6,31,226,132,608,13,16,0.09848484848484848,0.02631578947368421,0.07216905901116427,0.07076914379753615,0.028809564754590494,0.014302396878538785,0.12723589071653352,0.01403188388873353,0.042184807631187905,-0.011913079159592138,0.15345136675466445,0.0934256272052709
unbalanced_clean_tplus1,ai_edge_tplus1,1,785,13,13,33,267,137,648,13,16,0.0948905109489051,0.024691358024691357,0.07019915292421375,0.021959257605455747,0.025402721506155863,-0.027830076546609742,0.07174859175752124,0.3873434381319424,0.027506342055570718,-0.031953172823462855,0.07587168803437436,0.42467649156604664
core31_clean_tplus1_drop_event2019,ai_edge_tplus1,1,659,12,12,31,223,129,530,12,16,0.09302325581395349,0.03018867924528302,0.06283457656867047,0.012769801020904203,0.025147511244344733,-0.036519321018011475,0.06205892305981987,0.6115965435427206,0.02893359234014068,-0.04394003996577153,0.06947964200757993,0.6589606334241607
core31_clean_tplus1_drop_event2022,ai_edge_tplus1,1,570,12,12,31,221,69,501,7,13,0.10144927536231885,0.02594810379241517,0.07550117156990369,0.0266073448343128,0.037089988370595475,-0.04608903237205432,0.09930372204067993,0.4731441643231885,0.04005997032146065,-0.05191019699575007,0.10512488666437568,0.5065701004186349
core31_clean_tplus1_drop_CG,ai_edge_tplus1,1,616,13,13,30,196,107,509,12,13,0.11214953271028037,0.025540275049115914,0.08660925766116445,0.05187448765015459,0.03230142295504196,-0.011436301341727649,0.11518527664203682,0.10828477756440359,0.03464386636894233,-0.01602749043297238,0.11977646573328155,0.1342985001926648
core31_relaxed_tplus1,ai_edge_tplus1,1,769,13,13,31,230,137,632,15,23,0.10948905109489052,0.03639240506329114,0.07309664603159938,0.0139252019594097,0.0269808100457472,-0.038957185730254806,0.06680758964907421,0.6057740614619891,0.02714123016077472,-0.03927160915570875,0.06712201307452814,0.6079061959199623
core31_clean_tplus2,ai_edge_tplus2,1,740,13,13,31,226,132,608,15,22,0.11363636363636363,0.03618421052631579,0.07745215311004784,0.0241053609289935,0.03011671493466441,-0.034923400342948746,0.08313412220093575,0.42348019077183174,0.02117572479376561,-0.017399059666787092,0.06560978152477409,0.2549748639084766
core31_clean_any_tplus1_tplus2,ai_edge_any_tplus1_tplus2,1,740,13,13,31,226,132,608,23,35,0.17424242424242425,0.05756578947368421,0.11667663476874005,0.035402256638026514,0.034263021826049615,-0.03175326614103073,0.10255777941708376,0.3014870650942312,0.03555134515382332,-0.0342783798634672,0.10508289313952023,0.31934422547245145
