model_id,model_role,n_countries,n_dyads,permutations,seed,predictor,predictor_label,coefficient,standard_error_ols,t_observed,standardized_effect,permutation_p_two_sided,permutation_p_two_sided_plus1,random_t_mean,random_t_sd
primary_gdp_end2025,primary,38,703,10000,2978571641,infrastructure,Infrastructure co-presence,0.028539491049370896,0.02653256798649627,1.075639985692152,0.04166802681828586,0.2569,0.256974302569743,0.006443294554263272,1.0265605483038784
primary_gdp_end2025,primary,38,703,10000,2978571641,shared_rec_count,Shared REC count,-0.044624059379125225,0.04071235413659224,-1.0960815291940378,-0.04580905582306953,0.2926,0.2926707329267073,0.0018916252728489347,1.04640786999255
primary_gdp_end2025,primary,38,703,10000,2978571641,contiguous_border,Contiguous border,0.2669483177693216,0.10141290220106235,2.6322914735253993,0.11140327097000792,0.0092,0.009299070092990702,0.0021220697727582765,1.008635661542106
primary_gdp_end2025,primary,38,703,10000,2978571641,log_distance_capital_km,Log capital distance,-0.16605865723551108,0.03291521305418809,-5.045042757649171,-0.24244779176783324,0.0,9.999000099990002e-05,0.009396658564387733,1.0777962752261545
primary_gdp_end2025,primary,38,703,10000,2978571641,common_official_language,Common official language,0.3561306072731677,0.04768635086895532,7.468187453718863,0.2597199194707804,0.0,9.999000099990002e-05,0.01099297631763431,1.058256582416654
primary_gdp_end2025,primary,38,703,10000,2978571641,log_gdp_geometric_mean,Log GDP geometric mean,0.10537593320118732,0.028610674840987525,3.683098486381252,0.15385022819899796,0.003,0.0030996900309969004,0.013551912709126515,1.26005760167872
primary_gdp_end2025,primary,38,703,10000,2978571641,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.021352196394254373,0.030743515138742822,-0.6945268391689682,-0.03117448347085047,0.534,0.534046595340466,0.0065534740185887695,1.0872348172719852
population_replaces_gdp,sensitivity,38,703,10000,1764938713,infrastructure,Infrastructure co-presence,0.03431502167109993,0.026525682049936165,1.2936527553372565,0.05010037637980129,0.172,0.1720827917208279,0.005569814161208504,1.0106537873353179
population_replaces_gdp,sensitivity,38,703,10000,1764938713,shared_rec_count,Shared REC count,-0.04638918109132728,0.040787008462526655,-1.1373518882599016,-0.04762105052220265,0.2732,0.2732726727327267,0.003499665507274674,1.0472541584202897
population_replaces_gdp,sensitivity,38,703,10000,1764938713,contiguous_border,Contiguous border,0.2731128789496704,0.10140855772990819,2.693193602822751,0.1139758748557497,0.0076,0.007699230076992301,-0.01635464715674812,1.0119118248598922
population_replaces_gdp,sensitivity,38,703,10000,1764938713,log_distance_capital_km,Log capital distance,-0.15565192365869054,0.03277557670206843,-4.74902165943788,-0.2272538258691571,0.0,9.999000099990002e-05,-0.0009966388516424018,1.0743274905892257
population_replaces_gdp,sensitivity,38,703,10000,1764938713,common_official_language,Common official language,0.3664692272596275,0.04824520262078584,7.59597239419073,0.26725969700038404,0.0,9.999000099990002e-05,0.0029967682519679577,1.0527765062296996
population_replaces_gdp,sensitivity,38,703,10000,1764938713,log_population_geometric_mean,Log population geometric mean,0.09483616812128819,0.02724113020222476,3.481359525734472,0.13846203458167167,0.0034,0.0034996500349965005,-0.003769070254002621,1.2595428945072058
population_replaces_gdp,sensitivity,38,703,10000,1764938713,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.009334423608598293,0.029563378108853695,-0.3157427941498608,-0.013628379447393405,0.7729,0.7729227077292271,-0.0083769895302484,1.104620593084765
rec_start2021,sensitivity,38,703,10000,3225826912,infrastructure,Infrastructure co-presence,0.02891946005719112,0.026519790075946615,1.0904860096694733,0.04222278649429345,0.2394,0.23947605239476052,-0.007616250439612226,0.9981534399749078
rec_start2021,sensitivity,38,703,10000,3225826912,shared_rec_count_2021,shared_rec_count_2021,-0.0577300264110126,0.04067661022078722,-1.4192437889406644,-0.06106546441439963,0.1802,0.1802819718028197,-0.005376100012712602,1.0537618345430846
rec_start2021,sensitivity,38,703,10000,3225826912,contiguous_border,Contiguous border,0.2672660945296543,0.10126420832167939,2.639294761290658,0.1115358860426,0.008,0.008099190080991902,-0.018977453553098215,0.9934098850535563
rec_start2021,sensitivity,38,703,10000,3225826912,log_distance_capital_km,Log capital distance,-0.17343284071011253,0.033725359496000924,-5.142505322461508,-0.25321419521389,0.0,9.999000099990002e-05,0.009486930156572341,1.0800583367520527
rec_start2021,sensitivity,38,703,10000,3225826912,common_official_language,Common official language,0.35651563391595176,0.04766041095844963,7.480330671650361,0.2600007127713721,0.0,9.999000099990002e-05,0.013018639036409213,1.058332298806955
rec_start2021,sensitivity,38,703,10000,3225826912,log_gdp_geometric_mean,Log GDP geometric mean,0.10595168775615618,0.02859902979645223,3.704730143303663,0.15469083731132205,0.0023,0.0023997600239976003,0.00908147619347027,1.2772424312318542
rec_start2021,sensitivity,38,703,10000,3225826912,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.02329730021745303,0.030800270888888648,-0.7563991986141151,-0.03401436026224751,0.4961,0.4961503849615039,0.011492645901875894,1.1057190826766345
infra_jaccard,sensitivity,38,703,10000,1978527448,infrastructure,Infrastructure co-presence,0.020399342413658567,0.02457014221991422,0.8302492607114338,0.02978330430971221,0.4337,0.43375662433756623,0.009941725829221143,1.0780597816442345
infra_jaccard,sensitivity,38,703,10000,1978527448,shared_rec_count,Shared REC count,-0.0487165483279835,0.04107660821163847,-1.1859924772021553,-0.05001022123298386,0.2619,0.261973802619738,-0.005038501213189342,1.0525801467482616
infra_jaccard,sensitivity,38,703,10000,1978527448,contiguous_border,Contiguous border,0.2624376330163382,0.10144253911269657,2.587057020770998,0.10952086526692675,0.0102,0.010298970102989701,0.005251408695475787,0.9955326993219314
