predictor,pre_fit_transform,coefficient_scale,raw_predictor_sd,fitted_predictor_sd,outcome_sd,reported_coefficient,reported_standardized_estimate,reproduced_standardized_estimate,absolute_error,status
infrastructure,z-score,outcome units per 1 predictor SD,1.4246389361793215,1.0,0.6849254267266249,0.0285394910493708,0.0416680268182858,0.04166802681828572,7.632783294297951e-17,PASS
shared_rec_count,original scale,outcome units per 1 original-scale unit,0.7031136912263304,0.7031136912263304,0.6849254267266249,-0.0446240593791252,-0.0458090558230695,-0.04580905582306951,6.938893903907228e-18,PASS
contiguous_border,original scale,outcome units per 1 original-scale unit,0.2858341028161498,0.2858341028161498,0.6849254267266249,0.2669483177693216,0.1114032709700079,0.11140327097000792,1.3877787807814457e-17,PASS
log_distance_capital_km,z-score,outcome units per 1 predictor SD,0.7132981206340288,1.0,0.6849254267266249,-0.166058657235511,-0.2424477917678332,-0.24244779176783313,8.326672684688674e-17,PASS
common_official_language,original scale,outcome units per 1 original-scale unit,0.49950431959497504,0.49950431959497504,0.6849254267266249,0.3561306072731677,0.2597199194707804,0.2597199194707804,0.0,PASS
log_gdp_geometric_mean,z-score,outcome units per 1 predictor SD,0.8852729553750825,1.0,0.6849254267266249,0.1053759332011873,0.1538502281989979,0.15385022819899793,2.7755575615628914e-17,PASS
log_member_asn_geometric_mean,z-score,outcome units per 1 predictor SD,0.8921676564102586,1.0,0.6849254267266249,-0.0213521963942543,-0.0311744834708504,-0.03117448347085036,3.8163916471489756e-17,PASS
