graph,rec_timing,n_countries,edges,retained_draws,observed_within_rec_edge_share,observed_cross_boundary_edge_share,null_mean_within_rec_edge_share,null_sd_within_rec_edge_share,observed_to_null_mean_ratio,empirical_percentile_le_observed,upper_tail_p_plus1,null_min,null_max,observed_within_rec_weight_share,weighted_null_mean,weighted_observed_to_null_mean_ratio,weighted_upper_tail_p_plus1_descriptive
knowledge,end_2025,39,222,10000,0.5405405405405406,0.45945945945945943,0.43216531531531527,0.019967990660547996,1.250772612665949,1.0,9.999000099990002e-05,0.3648648648648648,0.5135135135135134,0.6337271047627128,0.43113167621655957,1.4699154335493283,0.00029997000299970003
knowledge,start_2021,39,222,10000,0.5405405405405406,0.45945945945945943,0.43216531531531527,0.019967990660547996,1.250772612665949,1.0,9.999000099990002e-05,0.3648648648648648,0.5135135135135134,0.6337271047627128,0.43113167621655957,1.4699154335493283,0.00029997000299970003
infrastructure,end_2025,39,513,10000,0.4951267056530214,0.5048732943469786,0.49011715399610123,0.00191788575844355,1.0102211310419877,1.0,0.0301969803019698,0.4873294346978557,0.4951267056530214,0.4781452187476959,0.4900453347321314,0.9757162957363111,0.5514448555144486
infrastructure,start_2021,39,513,10000,0.4951267056530214,0.5048732943469786,0.49011715399610123,0.00191788575844355,1.0102211310419877,1.0,0.0301969803019698,0.4873294346978557,0.4951267056530214,0.4781452187476959,0.4900453347321314,0.9757162957363111,0.5514448555144486
